year,month,origin,blend,roast_level,type,lbs
2014,1,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,3.0
2014,1,Panama,Single,light,Seasonal,128.25
2014,2,Panama,Single,light,Seasonal,133.5
2014,3,Panama,Single,light,Seasonal,180.75
2014,4,Panama,Single,light,Seasonal,130.5
2014,5,Panama,Single,light,Seasonal,69.0
2014,8,Ethiopia,Single,medium,Seasonal,21.0
2014,8,Mexico,Single,medium,Seasonal,2.25
2014,9,Brazil,Single,dark,Seasonal,3.0
2014,9,Ethiopia,Single,medium,Seasonal,54.0
2014,9,Mexico,Single,medium,Seasonal,9.75
2014,9,Panama,Single,light,Seasonal,9.75
2014,9,Papua New Guinea,Single,light,Seasonal,1.5
2014,10,Brazil,Single,dark,Evergreen,233.25
2014,10,Brazil,Single,dark,Seasonal,4.5
2014,10,Colombia,Single,dark,Evergreen,14.25
2014,10,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,85.5
2014,10,Ethiopia,Single,medium,Seasonal,244.5
2014,10,Guatemala,Single,medium,Seasonal,64.5
2014,10,Mexico,Single,medium,Seasonal,91.5
2014,10,Panama,Single,light,Seasonal,261.0
2014,11,Brazil,Single,dark,Evergreen,261.0
2014,11,Brazil,Single,dark,Seasonal,21.75
2014,11,Colombia,Single,dark,Evergreen,335.25
2014,11,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,117.0
2014,11,Ethiopia,Single,medium,Seasonal,337.5
2014,11,Guatemala,Single,medium,Seasonal,158.25
2014,11,Mexico,Single,medium,Seasonal,13.5
2014,11,Panama,Single,light,Seasonal,144.75
2014,11,Zambia,Single,dark,Seasonal,201.0
2014,12,Brazil,Single,dark,Evergreen,342.75
2014,12,Brazil,Single,dark,Seasonal,8.25
2014,12,Colombia,Single,dark,Evergreen,231.0
2014,12,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,142.5
2014,12,Ethiopia,Single,medium,Seasonal,92.25
2014,12,Guatemala,Single,medium,Seasonal,174.0
2014,12,Haiti,Single,dark,Seasonal,720.75
2014,12,Kenya,Single,medium,Seasonal,159.0
2014,12,Mexico,Single,medium,Seasonal,15.0
2014,12,Panama,Single,light,Seasonal,243.0
2014,12,Zambia,Single,dark,Seasonal,241.5
2015,1,Brazil,Single,dark,Evergreen,291.75
2015,1,Brazil,Single,dark,Seasonal,12.0
2015,1,Colombia,Single,dark,Evergreen,187.5
2015,1,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,101.25
2015,1,Ethiopia,Single,medium,Seasonal,6.0
2015,1,Guatemala,Single,medium,Seasonal,159.75
2015,1,Haiti,Single,dark,Seasonal,219.75
2015,1,Kenya,Single,medium,Seasonal,210.75
2015,1,Mexico,Single,medium,Seasonal,10.5
2015,1,Panama,Single,light,Seasonal,140.25
2015,1,Zambia,Single,dark,Seasonal,610.5
2015,2,Brazil,Single,dark,Evergreen,297.75
2015,2,Brazil,Single,dark,Seasonal,12.75
2015,2,Colombia,Single,dark,Evergreen,195.0
2015,2,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,105.75
2015,2,Guatemala,Single,medium,Seasonal,195.75
2015,2,Haiti,Single,dark,Seasonal,234.75
2015,2,Kenya,Single,medium,Seasonal,161.25
2015,2,Panama,Single,light,Seasonal,178.5
2015,2,Zambia,Single,dark,Seasonal,411.75
2015,3,Brazil,Single,dark,Evergreen,190.5
2015,3,Brazil,Single,dark,Seasonal,20.25
2015,3,Colombia,Single,dark,Evergreen,107.25
2015,3,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,94.5
2015,3,Ethiopia,Single,medium,Evergreen,573.0
2015,3,Ethiopia,Single,medium,Seasonal,8.25
2015,3,Guatemala,Single,medium,Seasonal,15.0
2015,3,Haiti,Single,dark,Seasonal,116.25
2015,3,Kenya,Single,medium,Seasonal,12.0
2015,3,Panama,Single,light,Seasonal,211.0
2015,3,Zambia,Single,dark,Seasonal,320.25
2015,4,Brazil,Single,dark,Evergreen,233.25
2015,4,Brazil,Single,dark,Seasonal,27.75
2015,4,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,131.25
2015,4,Ethiopia,Single,medium,Evergreen,536.25
2015,4,Haiti,Single,dark,Seasonal,108.0
2015,4,Kenya,Single,medium,Seasonal,3.75
2015,4,Panama,Single,light,Seasonal,202.25
2015,4,Zambia,Single,dark,Seasonal,345.75
2015,5,Brazil,Single,dark,Evergreen,227.25
2015,5,Brazil,Single,dark,Seasonal,21.75
2015,5,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,118.5
2015,5,Ethiopia,Single,medium,Evergreen,492.0
2015,5,Ethiopia,Single,medium,Seasonal,83.25
2015,5,Haiti,Single,dark,Seasonal,120.0
2015,5,Panama,Single,light,Seasonal,188.0
2015,5,Yemen,Single,medium,Seasonal,115.5
2015,5,Zambia,Single,dark,Seasonal,303.75
2015,6,Brazil,Single,dark,Evergreen,136.5
2015,6,Brazil,Single,dark,Seasonal,9.0
2015,6,Colombia,Single,dark,Evergreen,254.25
2015,6,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,210.0
2015,6,Ethiopia,Single,medium,Evergreen,421.5
2015,6,Ethiopia,Single,medium,Seasonal,402.0
2015,6,Haiti,Single,dark,Seasonal,67.5
2015,6,"Kenya, Colombia",Blend,medium,Evergreen,33.0
2015,6,Panama,Single,light,Seasonal,190.0
2015,6,Yemen,Single,medium,Seasonal,114.75
2015,6,Zambia,Single,dark,Seasonal,225.0
2015,7,Brazil,Single,dark,Evergreen,136.5
2015,7,Colombia,Single,dark,Evergreen,483.0
2015,7,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,432.0
2015,7,Ethiopia,Single,medium,Evergreen,408.75
2015,7,Ethiopia,Single,medium,Seasonal,427.5
2015,7,Haiti,Single,dark,Seasonal,196.5
2015,7,"Kenya, Colombia",Blend,medium,Evergreen,66.75
2015,7,Panama,Single,light,Seasonal,252.25
2015,7,Yemen,Single,medium,Seasonal,120.0
2015,7,Zambia,Single,dark,Seasonal,78.75
2015,8,Brazil,Single,dark,Evergreen,152.25
2015,8,Colombia,Single,dark,Evergreen,543.75
2015,8,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,481.5
2015,8,Ethiopia,Single,medium,Evergreen,486.75
2015,8,Ethiopia,Single,medium,Seasonal,459.75
2015,8,Haiti,Single,dark,Seasonal,432.0
2015,8,"Kenya, Colombia",Blend,medium,Evergreen,64.5
2015,8,Mexico,Single,medium,Seasonal,453.0
2015,8,Panama,Single,light,Seasonal,277.0
2015,8,Yemen,Single,medium,Seasonal,116.25
2015,9,Brazil,Single,dark,Evergreen,160.5
2015,9,Brazil,Single,dark,Seasonal,0.75
2015,9,Colombia,Single,dark,Evergreen,521.25
2015,9,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,462.75
2015,9,Ethiopia,Single,medium,Evergreen,417.75
2015,9,Ethiopia,Single,medium,Seasonal,420.0
2015,9,Haiti,Single,dark,Seasonal,445.5
2015,9,"Kenya, Colombia",Blend,medium,Evergreen,57.75
2015,9,Mexico,Single,medium,Seasonal,702.0
2015,9,Panama,Single,light,Seasonal,278.25
2015,9,Yemen,Single,medium,Seasonal,103.5
2015,9,Zambia,Single,dark,Seasonal,42.0
2015,10,Brazil,Single,dark,Evergreen,0.75
2015,10,Brazil,Single,dark,Seasonal,145.5
2015,10,Colombia,Single,dark,Evergreen,628.5
2015,10,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,545.25
2015,10,Ethiopia,Single,medium,Evergreen,498.75
2015,10,Ethiopia,Single,medium,Seasonal,555.0
2015,10,Haiti,Single,dark,Seasonal,501.0
2015,10,"Kenya, Colombia",Blend,medium,Evergreen,49.5
2015,10,Mexico,Single,medium,Seasonal,758.25
2015,10,Panama,Single,light,Seasonal,249.75
2015,10,Papua New Guinea,Single,light,Seasonal,214.5
2015,10,Yemen,Single,medium,Seasonal,76.5
2015,10,Zambia,Single,dark,Seasonal,552.0
2015,11,Brazil,Single,dark,Seasonal,170.25
2015,11,Colombia,Single,dark,Evergreen,733.5
2015,11,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,609.75
2015,11,Ethiopia,Single,medium,Evergreen,578.25
2015,11,Ethiopia,Single,medium,Seasonal,561.75
2015,11,Haiti,Single,dark,Seasonal,333.75
2015,11,Kenya,Single,medium,Seasonal,160.5
2015,11,"Kenya, Colombia",Blend,medium,Evergreen,39.75
2015,11,Mexico,Single,medium,Seasonal,657.75
2015,11,Panama,Single,light,Seasonal,640.0
2015,11,Papua New Guinea,Single,light,Seasonal,574.5
2015,11,Sumatra,Single,dark,Seasonal,96.75
2015,11,Yemen,Single,medium,Seasonal,5.25
2015,11,Zambia,Single,dark,Seasonal,211.5
2015,12,Brazil,Single,dark,Evergreen,3.75
2015,12,Brazil,Single,dark,Seasonal,165.75
2015,12,Colombia,Single,dark,Evergreen,988.5
2015,12,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,933.75
2015,12,Ethiopia,Single,medium,Evergreen,747.0
2015,12,Ethiopia,Single,medium,Seasonal,794.25
2015,12,Haiti,Single,dark,Evergreen,0.75
2015,12,Haiti,Single,dark,Seasonal,132.75
2015,12,Kenya,Single,medium,Seasonal,540.0
2015,12,"Kenya, Colombia",Blend,medium,Evergreen,13.5
2015,12,Mexico,Single,medium,Seasonal,187.5
2015,12,Panama,Single,light,Seasonal,260.0
2015,12,Papua New Guinea,Single,light,Seasonal,226.5
2015,12,Rwanda,Single,light,Seasonal,89.25
2015,12,Sumatra,Single,dark,Seasonal,729.0
2016,1,Brazil,Single,dark,Evergreen,2.25
2016,1,Brazil,Single,dark,Seasonal,146.25
2016,1,Colombia,Single,dark,Evergreen,677.25
2016,1,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,630.0
2016,1,Ethiopia,Single,medium,Evergreen,615.75
2016,1,Ethiopia,Single,medium,Seasonal,504.0
2016,1,Haiti,Single,dark,Evergreen,0.75
2016,1,Haiti,Single,dark,Seasonal,63.75
2016,1,Kenya,Single,medium,Seasonal,186.0
2016,1,"Kenya, Colombia",Blend,medium,Evergreen,10.5
2016,1,Mexico,Single,medium,Seasonal,483.75
2016,1,Panama,Single,light,Seasonal,195.0
2016,1,Papua New Guinea,Single,light,Seasonal,137.25
2016,1,Rwanda,Single,light,Seasonal,77.25
2016,1,Sumatra,Single,dark,Seasonal,628.5
2016,2,Brazil,Single,dark,Evergreen,2.25
2016,2,Brazil,Single,dark,Seasonal,356.25
2016,2,Colombia,Single,dark,Evergreen,683.25
2016,2,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,600.75
2016,2,Ethiopia,Single,medium,Evergreen,595.5
2016,2,Ethiopia,Single,medium,Seasonal,82.5
2016,2,Haiti,Single,dark,Evergreen,0.75
2016,2,Haiti,Single,dark,Seasonal,109.5
2016,2,Kenya,Single,medium,Seasonal,109.5
2016,2,"Kenya, Colombia",Blend,medium,Evergreen,9.0
2016,2,Mexico,Single,medium,Seasonal,473.25
2016,2,Panama,Single,light,Seasonal,203.5
2016,2,Papua New Guinea,Single,light,Seasonal,171.75
2016,2,Rwanda,Single,light,Seasonal,387.75
2016,2,Sumatra,Single,dark,Seasonal,543.0
2016,3,Brazil,Single,dark,Evergreen,1.5
2016,3,Brazil,Single,dark,Seasonal,1047.0
2016,3,Colombia,Single,dark,Evergreen,684.0
2016,3,Colombia,Single,light,Seasonal,276.75
2016,3,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,627.0
2016,3,Ethiopia,Single,medium,Evergreen,675.0
2016,3,Haiti,Single,dark,Seasonal,16.5
2016,3,"Kenya, Colombia",Blend,medium,Evergreen,9.75
2016,3,Mexico,Single,medium,Seasonal,7.5
2016,3,Panama,Single,light,Seasonal,176.0
2016,3,Papua New Guinea,Single,light,Seasonal,33.75
2016,3,Rwanda,Single,light,Seasonal,162.75
2016,3,Sumatra,Single,dark,Seasonal,486.75
2016,4,Brazil,Single,dark,Evergreen,0.75
2016,4,Brazil,Single,dark,Seasonal,1069.5
2016,4,Colombia,Single,dark,Evergreen,640.5
2016,4,Colombia,Single,light,Seasonal,386.25
2016,4,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,632.25
2016,4,Ethiopia,Single,medium,Evergreen,697.5
2016,4,Ethiopia,Single,medium,Seasonal,154.5
2016,4,Haiti,Single,dark,Evergreen,0.75
2016,4,Kenya,Single,medium,Seasonal,0.75
2016,4,"Kenya, Colombia",Blend,medium,Evergreen,9.75
2016,4,Panama,Single,light,Seasonal,160.0
2016,4,Rwanda,Single,light,Seasonal,151.5
2016,4,Sumatra,Single,dark,Seasonal,61.5
2016,5,Brazil,Single,dark,Evergreen,0.75
2016,5,Brazil,Single,dark,Seasonal,1119.0
2016,5,Colombia,Single,dark,Evergreen,692.25
2016,5,Colombia,Single,light,Seasonal,427.5
2016,5,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,726.75
2016,5,Ethiopia,Single,medium,Evergreen,720.0
2016,5,Ethiopia,Single,medium,Seasonal,558.75
2016,5,Kenya,Single,medium,Seasonal,0.75
2016,5,"Kenya, Colombia",Blend,medium,Evergreen,66.0
2016,5,Panama,Single,light,Seasonal,149.0
2016,5,Rwanda,Single,light,Seasonal,80.25
2016,5,Sumatra,Single,dark,Seasonal,1.5
2016,6,Brazil,Single,dark,Seasonal,881.25
2016,6,Colombia,Single,dark,Evergreen,565.5
2016,6,Colombia,Single,light,Seasonal,341.25
2016,6,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,647.25
2016,6,Ethiopia,Single,medium,Evergreen,745.5
2016,6,Ethiopia,Single,medium,Seasonal,584.25
2016,6,Guatemala,Single,medium,Seasonal,133.5
2016,6,"Kenya, Colombia",Blend,medium,Evergreen,73.5
2016,6,Nicaragua,Single,medium,Seasonal,236.25
2016,6,Panama,Single,light,Seasonal,72.0
2016,6,Rwanda,Single,light,Seasonal,3.0
2016,7,Brazil,Single,dark,Seasonal,685.5
2016,7,Colombia,Single,dark,Evergreen,507.75
2016,7,Colombia,Single,light,Seasonal,112.5
2016,7,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,595.5
2016,7,Ethiopia,Single,medium,Evergreen,620.25
2016,7,Ethiopia,Single,medium,Seasonal,540.75
2016,7,Guatemala,Single,medium,Seasonal,660.0
2016,7,Kenya,Single,medium,Seasonal,191.25
2016,7,"Kenya, Colombia",Blend,medium,Evergreen,42.75
2016,7,Nicaragua,Single,medium,Seasonal,555.75
2016,7,Panama,Single,light,Seasonal,1.5
2016,8,Brazil,Single,dark,Seasonal,251.25
2016,8,Colombia,Single,dark,Evergreen,530.25
2016,8,Colombia,Single,light,Seasonal,79.5
2016,8,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,579.0
2016,8,Ethiopia,Single,medium,Evergreen,561.0
2016,8,Ethiopia,Single,medium,Seasonal,600.75
2016,8,Guatemala,Single,medium,Seasonal,602.25
2016,8,Kenya,Single,medium,Seasonal,556.25
2016,8,"Kenya, Colombia",Blend,medium,Evergreen,45.75
2016,8,Mexico,Single,medium,Seasonal,1.5
2016,8,Myanmar,Single,medium,Seasonal,210.75
2016,8,Nicaragua,Single,medium,Seasonal,511.5
2016,9,Brazil,Single,dark,Seasonal,167.25
2016,9,Colombia,Single,dark,Evergreen,203.25
2016,9,Colombia,Single,light,Seasonal,1.5
2016,9,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,507.0
2016,9,Ethiopia,Single,medium,Evergreen,273.0
2016,9,Ethiopia,Single,medium,Seasonal,552.75
2016,9,Guatemala,Single,medium,Seasonal,572.25
2016,9,Kenya,Single,medium,Seasonal,461.0
2016,9,"Kenya, Colombia",Blend,medium,Evergreen,41.25
2016,9,Mexico,Single,medium,Seasonal,549.0
2016,9,Myanmar,Single,medium,Seasonal,669.75
2016,9,Nicaragua,Single,medium,Seasonal,419.25
2016,9,Panama,Single,light,Seasonal,65.0
2016,10,Brazil,Single,dark,Seasonal,168.75
2016,10,Colombia,Single,dark,Evergreen,162.0
2016,10,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,658.5
2016,10,Ethiopia,Single,medium,Evergreen,192.0
2016,10,Ethiopia,Single,medium,Seasonal,541.5
2016,10,Guatemala,Single,medium,Seasonal,508.5
2016,10,Haiti,Single,dark,Seasonal,99.0
2016,10,Kenya,Single,medium,Seasonal,401.75
2016,10,"Kenya, Colombia",Blend,medium,Evergreen,31.5
2016,10,Mexico,Single,medium,Seasonal,530.5
2016,10,Myanmar,Single,medium,Seasonal,517.5
2016,10,Nicaragua,Single,medium,Seasonal,367.5
2016,10,Panama,Single,light,Seasonal,146.0
2016,11,Brazil,Single,dark,Evergreen,0.75
2016,11,Brazil,Single,dark,Seasonal,186.75
2016,11,Colombia,Single,dark,Evergreen,617.25
2016,11,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,666.75
2016,11,Ethiopia,Single,medium,Evergreen,222.0
2016,11,Ethiopia,Single,medium,Seasonal,531.75
2016,11,Guatemala,Single,medium,Seasonal,438.75
2016,11,Haiti,Single,dark,Seasonal,468.0
2016,11,Kenya,Single,medium,Seasonal,171.0
2016,11,"Kenya, Colombia",Blend,medium,Evergreen,43.5
2016,11,Mexico,Single,medium,Seasonal,533.0
2016,11,Myanmar,Single,medium,Seasonal,216.75
2016,11,Nicaragua,Single,medium,Seasonal,201.0
2016,11,Panama,Single,light,Seasonal,113.0
2016,11,Papua New Guinea,Single,light,Seasonal,669.75
2016,12,Brazil,Single,dark,Evergreen,3.75
2016,12,Brazil,Single,dark,Seasonal,679.5
2016,12,Colombia,Single,dark,Evergreen,796.5
2016,12,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,1104.75
2016,12,Ethiopia,Single,medium,Evergreen,648.0
2016,12,Ethiopia,Single,medium,Seasonal,672.0
2016,12,Guatemala,Single,medium,Seasonal,592.5
2016,12,Haiti,Single,dark,Seasonal,459.0
2016,12,Kenya,Single,medium,Seasonal,314.25
2016,12,"Kenya, Colombia",Blend,medium,Evergreen,32.25
2016,12,Mexico,Single,medium,Seasonal,579.0
2016,12,Myanmar,Single,medium,Seasonal,12.75
2016,12,Nicaragua,Single,medium,Seasonal,96.0
2016,12,Panama,Single,light,Seasonal,256.0
2016,12,Papua New Guinea,Single,light,Seasonal,722.25
2017,1,Brazil,Single,dark,Evergreen,3.75
2017,1,Brazil,Single,dark,Seasonal,533.25
2017,1,Colombia,Single,dark,Evergreen,230.25
2017,1,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,801.0
2017,1,Ethiopia,Single,medium,Evergreen,714.0
2017,1,Ethiopia,Single,medium,Seasonal,58.5
2017,1,Guatemala,Single,medium,Seasonal,191.25
2017,1,Haiti,Single,dark,Seasonal,37.5
2017,1,Kenya,Single,medium,Seasonal,597.0
2017,1,"Kenya, Colombia",Blend,medium,Evergreen,35.25
2017,1,Mexico,Single,medium,Seasonal,577.5
2017,1,Myanmar,Single,medium,Seasonal,0.75
2017,1,Nicaragua,Single,medium,Seasonal,0.75
2017,1,Panama,Single,light,Seasonal,147.0
2017,1,Papua New Guinea,Single,light,Seasonal,593.25
2017,1,Rwanda,Single,light,Seasonal,122.25
2017,2,Brazil,Single,dark,Evergreen,3.75
2017,2,Brazil,Single,dark,Seasonal,369.0
2017,2,Colombia,Single,dark,Evergreen,480.75
2017,2,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,660.0
2017,2,Ethiopia,Single,medium,Evergreen,655.5
2017,2,Guatemala,Single,medium,Seasonal,18.75
2017,2,Kenya,Single,medium,Seasonal,492.75
2017,2,"Kenya, Colombia",Blend,medium,Evergreen,32.25
2017,2,Mexico,Single,medium,Seasonal,418.5
2017,2,Panama,Single,light,Seasonal,241.0
2017,2,Papua New Guinea,Single,light,Seasonal,606.0
2017,2,Rwanda,Single,light,Seasonal,354.75
2017,2,Sumatra,Single,dark,Seasonal,811.5
2017,3,Brazil,Single,dark,Evergreen,0.75
2017,3,Brazil,Single,dark,Seasonal,496.5
2017,3,Colombia,Single,dark,Evergreen,345.75
2017,3,Colombia,Single,medium,Seasonal,85.5
2017,3,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,687.0
2017,3,Ethiopia,Single,medium,Evergreen,733.5
2017,3,Kenya,Single,medium,Seasonal,544.5
2017,3,"Kenya, Colombia",Blend,medium,Evergreen,42.0
2017,3,Mexico,Single,medium,Seasonal,58.5
2017,3,Panama,Single,light,Seasonal,111.5
2017,3,Papua New Guinea,Single,light,Seasonal,600.0
2017,3,Rwanda,Single,light,Seasonal,425.25
2017,3,Sumatra,Single,dark,Seasonal,666.75
2017,4,Brazil,Single,dark,Evergreen,0.75
2017,4,Brazil,Single,dark,Seasonal,1001.25
2017,4,Colombia,Single,dark,Evergreen,201.75
2017,4,Colombia,Single,medium,Seasonal,614.25
2017,4,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,730.5
2017,4,Ecuador,Single,light,Seasonal,145.5
2017,4,Ethiopia,Single,medium,Evergreen,915.0
2017,4,Kenya,Single,medium,Seasonal,21.75
